"raw_row_number","date","time","location","lat","lng","geocode_source","beat","district","subject_race","subject_sex","type","violation","citation_issued","outcome","speed","posted_speed","vehicle_color","vehicle_make","vehicle_model","raw_race"
"962708|962849",2016-01-04,NA,"1100 EVERGREEN",29.7154643,-95.2902964,"GM","11H20",11,"white","female","vehicular","FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY|NO VALID DRIVER'S LICENSE - SINGLE BLOCK",TRUE,"citation",NA,NA,"BLACK","NISSAN","SENTRA","White"
"1796127|1796128|1796129",2018-02-15,22:21:00,"WASHINGTON AVENUE AND SAWYER",29.7683007,-95.3827565,"GM","2A40",2,"white","female","vehicular","SPEEDING /30 (DISTANCE BETWEEN STREETS) (URBAN DISTRICT)|NO MOTOR VEHICLE REGISTRATION TAGS TRAILER, OR SEMITRAILER, EXPIRED/MISSING/IMPROPERLY DISPLAYED   (DIST. BTWN STRTS)|NO (FRONT) (REAR) LICENSE PLATE (DISTANCE BETWEEN STREETS)",TRUE,"citation",NA,NA,"GRY","FORD","FIES","White"
"257979",2014-06-06,NA,"7373 OLD KATY RD",29.7831195,-95.4556047,"GM","5F10",5,"white","male","vehicular","FAIL TO OBEY TRAFFIC CONTROL DEVICE, TO-WIT: A SIGN BEARING THE LEGEND.",TRUE,"citation",NA,NA,"GRAY","HYUN","V6","White"
"236439",2014-05-24,NA,"NORTH FWY, WEST SERVICE RD AND WEST ROAD",29.9150456,-95.4129545,"GM","6B40",6,"white","male","vehicular","FAILURE TO WEAR A SEAT BELT - FIFTEEN (15) YEARS OR OLDER (INTERSECTION)",TRUE,"citation",NA,NA,"WHITE","NISS","ARMA","White"
"793798|793836",2015-07-31,NA,"3600 WASHINGTON AVENUE",29.7694111,-95.3960377,"GM","2A50",2,"black","female","vehicular","EXPIRED LICENSE NUMBER PLATE; EXPIRED MONTH/YEAR/REGISTRATION TAB IMPROPERLY DISPLAYED|SPEEDING /30 (URBAN DISTRICT) (SINGLE BLOCK)",TRUE,"citation",NA,NA,"BLK","FORD","MUSTANG","Black"
"1825664",2018-03-10,08:28:00,"IH 10 AND UVALDE STREET",29.2975813,-99.6366019,"GM",NA,NA,"white","male","vehicular","SPEEDING/ON STREET OR FREEWAY  DISTANCE BETWEEN STREETS",TRUE,"citation",75,60,"WHI","DODG","RAM","White"
"1995395",2018-07-25,17:41:00,"4000 N. MCCARTY STREET",29.7972448,-95.2712455,"GM","9C30",9,"black","male","vehicular","COMMER MOTOR VEH/ DRIVER NOT PROPERLY RESTRAINED W/SEAT BELT ASSEMBLY",TRUE,"citation",NA,NA,"BLU","FREIGHTLINER","BOX","Black"
"1064437|1064483|1064984|1065056",2016-03-28,NA,"US 59 (SW FRWY ) AND FOUNTAIN VIEW",29.7405482,-95.4858714,"GM","18F30",18,"white","male","vehicular","FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY (DISTANCE BETWEEN STREETS)|FAIL TO DISPLAY A VALID TEXAS DRIVERS LICENSE (DISTANCE BETWEEN STREETS)|SPEEDING/ON STREET OR FREEWAY  DISTANCE BETWEEN STREETS|CHANGING LANES NOT IN SAFETY - (DISTANCE BETWEEN STREETS)",TRUE,"citation",NA,NA,"GRY","HONDA","SUV","White"
"674287|674658",2015-04-27,NA,"HOUSTON AND CROCKETT",29.7737329,-95.372399,"GM","2A40",2,"white","female","vehicular","RUNNING A RED LIGHT (INTERSECTION)|FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY - INTERSECTION",TRUE,"citation",NA,NA,"BLK","DODGE|DODG","CHARGER|CHAR","White"
"2136151",2018-12-06,12:49:00,"5500 I 45",29.997412437,-95.4254153539999,"SU",NA,NA,"white","male","vehicular","CHANGING LANES WITHOUT GIVING SIGNAL",TRUE,"citation",NA,60,"WHI","GMC","YUKO","White"
"2544222",2020-01-26,00:51:00,"12400 WESTHEIMER",29.7376769,-95.6013657,"GM","20G40",20,"black","male","vehicular","SPEEDING / ON STREET OR FREEWAY (SINGLE BLOCK)",TRUE,"citation",58,40,"BLK","INFINITI","FX35","Black"
"490522",2014-12-05,NA,"2600 BELLFORT AVE",29.667682,-95.392416,"GM","15E40",15,"black","female","vehicular","SPEEDING (DISTANCE BETWEEN BLOCKS)",TRUE,"citation",46,35,"SILVER","LEXS","RX 3","Black"
"1692320",2017-11-08,NA,"200 CHARTRES",29.7611979,-95.349207,"GM","10H10",10,NA,"female","vehicular","EXPIRED LICENSE NUMBER PLATE; EXPIRED MONTH/YEAR/REGISTRATION TAB IMPROPERLY DISPLAYED",TRUE,"citation",NA,NA,"GREEN","GMC","YUKON",NA
"2160996",2019-01-03,17:21:00,"2000 WASHINGTON AVENUE",29.7679027,-95.3783234,"GM","2A40",2,"white","male","vehicular","SPEEDING /30 (DISTANCE BETWEEN BLOCKS) (URBAN DISTRICT)",TRUE,"citation",42,30,"GRY","TOYT","CAMRY","White"
"657593|657699",2015-04-15,NA,"GULF FRWY COLLECTOR RD AND W. DALLAS",29.5217528,-95.1246219,"GM",NA,NA,"white","female","vehicular","FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY (DISTANCE BETWEEN STREETS)",TRUE,"citation",NA,NA,"BRZ","CHEV","TRAI","White"
"2203266",2019-02-08,07:40:00,"SHEPHERD DRIVE AND KATY FWY, SOUTH SERVICE RD",29.7780201,-95.4096221,"GM","2A30",2,"white","male","vehicular","RUNNING A RED LIGHT (INTERSECTION)",TRUE,"citation",NA,NA,"GRY","NISS","ALTI","White"
"2666478",2020-08-23,19:16:00,NA,NA,NA,NA,NA,NA,"white","female","vehicular","NO OPER. DRIVERS LICENSE (ACCIDENT)  NO VALID TEXAS DRIVERS LICENSE_(ACCIDENT)",TRUE,"citation",NA,NA,"WHITE","HONDA","CIVIC","White"
"298449",2014-07-08,NA,"YALE ST AND W 20TH",29.8039574,-95.3992437,"GM","2A30",2,"white","male","vehicular","TURNING WHERE PROHIBITED BY SIGN - (INTERSECTION)",TRUE,"citation",NA,NA,"WHITE","FORD","F350","White"
"2593054",2020-04-20,08:14:00,"N IH 45 AND LITTLE YORK ROAD",30.0234395,-95.430262,"GM",NA,NA,"white","female","vehicular","SPEEDING/ON STREET OR FREEWAY  DISTANCE BETWEEN STREETS",TRUE,"citation",78,60,"BLK","HYUN","SANT","White"
"1990068",2018-07-21,06:14:00,"IH 10 AND MERCURY",29.7737001,-95.2470508,"GM","9C30",9,"white","male","vehicular","SPEEDING/ON STREET OR FREEWAY  DISTANCE BETWEEN STREETS",TRUE,"citation",70,60,"GRY","CHRY","200","White"
"2221660",2019-02-25,12:04:00,"TIDWELL RD AND EASTEX FWY, WEST SERVICE RD",29.8488138,-95.3330397,"GM","7C30",7,"black","male","vehicular","RUNNING A RED LIGHT (INTERSECTION)",TRUE,"citation",NA,NA,"RED","CHEV","SILV","Black"
"1623343",2017-08-07,NA,"WEST ROAD AND NORTH FWY, WEST SERVICE RD",29.9150456,-95.4129545,"GM","6B40",6,"white","female","vehicular","RUNNING A RED LIGHT (INTERSECTION)",TRUE,"citation",NA,NA,"BLK","GMC","YUKON","White"
"2360470",2019-07-06,05:14:00,"2000 IH 10",29.7848912,-95.5172007,"GM",NA,NA,"asian/pacific islander","male","vehicular","DRIVING WITHOUT BOTH TAIL LIGHTS - EQUIPMENT (SINGLE BLOCK)",TRUE,"citation",NA,NA,"RED","MACK","TRAC","Asian"
"392975",2014-09-23,NA,"IH 10",29.768391,-95.363898,"GM","2A10",2,NA,"male","vehicular","SPEEDING (DISTANCE BETWEEN MILE POST# & MILE POST# )",TRUE,"citation",77,60,"WHITE","FORD","EDGE",NA
"222601",2014-05-17,NA,"8500 GULF FWY WEST SERVICE RD",29.7047677,-95.3003357,"GM","13D10",13,"white","female","vehicular","FAILURE TO WEAR A SEAT BELT RIDING IN A MOTOR VEHICLE - FIFTEEN (15) YEARS OR OLDER",TRUE,"citation",NA,NA,"BLUE","CHEVROLET","IMPALA","White"
"2595928",2020-04-27,10:58:00,"12000 GULF FREEWAY",29.6220541,-95.2241977,"GM","12D10",12,"white","female","vehicular","SPEEDING / ON STREET OR FREEWAY (SINGLE BLOCK)",TRUE,"citation",70,60,"GLD","VOLVO","XC60","White"
"1287476|1287960",2016-10-02,NA,"7100 SCOTT ST",29.6881916,-95.3639003,"GM","14D20",14,"black","male","vehicular","DEFECTIVE EQUIPMENT.|NO (FRONT) (REAR) LICENSE PLATE",TRUE,"citation",NA,NA,"BLUE","HONDA","ACCORD","Black"
"2445314|2445315",2019-09-30,16:35:00,"6300 TULSA ROAD",29.821042525,-95.481445261,"SU","3B10",3,NA,"male","vehicular","NO VALID DRIVER'S LICENSE - SINGLE BLOCK|FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY - [SECOND OFFENSE]",TRUE,"citation",NA,NA,"GRY","CHEVROLET|CHEV","SILVERADO|SILV",NA
"1748560",2018-01-07,07:14:00,NA,NA,NA,NA,NA,NA,"black","female","vehicular","FAIL TO CONTROL SPEED COLLIDE WITH ANOTHER VEHICLE",TRUE,"citation",NA,NA,"GRAY","NISSAN","ALTIMA","Black"
"2056459|2056460",2018-09-18,17:06:00,"IH 10 AND N WILCREST DRIVE",29.7841192,-95.5757794,"GM","20G50",20,"unknown","male","vehicular","SEAT BELT /COMMERCIAL MOTOR VEH/ DRIVER NOT PROPERLY RESTRAINED W/SEAT BELT ASSEMBLY  (DIST BTWN STREETS)|FAILURE TO REMOVE LOOSE MATERIAL FROM NON-CARRYING PARTS OF VEHICLE DISTANCE BETWEEN STREETS",TRUE,"citation",NA,NA,"DGR","FORD","TREE","Unknown"
"147496",2014-04-06,NA,"BELLAIRE AND HILLCROFT",29.7055421,-95.4931988,"GM","17E10",17,"white","male","vehicular","RUNNING A RED LIGHT (INTERSECTION)",TRUE,"citation",NA,NA,"BLUE","MERC","VILLAGER","White"
"28743",2014-01-21,NA,"11200 TELEPHONE RD  (S/B)",29.6028637,-95.286188,"GM","13D40",13,"white","female","vehicular","SPEEDING (DISTANCE BETWEEN BLOCKS)",TRUE,"citation",65,45,"BLACK","CHEVY","CARMARO","White"
"1651287|1651752",2017-09-20,NA,"2000 GESSNER",29.807623,-95.5447098,"GM","4F20",4,NA,"female","vehicular","NO VALID DRIVER'S LICENSE - BETWEEN BLOCKS|SPEEDING IN SCHOOL ZONE WHILE BEACONS FLASHING.../20 DIST BETWEEN BLOCKS",TRUE,"citation",NA,NA,"RED","JEEP","SUV",NA
"778179",2015-07-18,NA,"IH10",29.768391,-95.363898,"GM","2A10",2,"white","male","vehicular","SPEEDING (DISTANCE BETWEEN MILE POST# & MILE POST# )",TRUE,"citation",65,60,"BLU","KW","TT R","White"
"620942",2015-03-22,NA,"12400 WESTPARK DR",29.7208126,-95.5694674,"GM","20G30",20,"black","male","vehicular","EXPIRED LICENSE NUMBER PLATE; EXPIRED MONTH/YEAR/REGISTRATION TAB IMPROPERLY DISPLAYED",TRUE,"citation",NA,NA,"TAN","TOYOTA","SOLARA","Black"
"2650028",2020-07-29,09:18:00,"US 290 AND GESSNER",29.7623579,-95.5447501,"GM",NA,NA,"white","male","vehicular","SPEEDING/ON STREET OR FREEWAY  DISTANCE BETWEEN STREETS",TRUE,"citation",84,60,"YEL","FIAT","500","White"
"1918512",2018-05-24,08:24:00,"8000 TILGHAM",29.7659839,-95.2852552,"GM","9C20",9,"white","male","vehicular","FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY",TRUE,"citation",NA,NA,"SILVER","HUMMER","H3","White"
"2035756|2035757|2035758",2018-08-30,07:23:00,"KEMPWOOD DRIVE AND BINGLE ROAD",29.8200232,-95.4990043,"GM","5F20",5,"white","male","vehicular","SPEEDING IN SCHOOL ZONE WHILE BEACONS FLASHING /20-DISTANCE BETWEEN STREETS|NO VALID DRIVER'S LICENSE - DISTANCE BETWEEN STREETS|FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY (DISTANCE BETWEEN STREETS)",TRUE,"citation",NA,NA,"BLK","TOYT","COROLLA|COROLLA|CORO","White"
"1641077",2017-08-24,NA,"1800 WESTHEIMER",29.7429026,-95.4047949,"GM","1A30",1,"white","female","vehicular","EXPIRED LICENSE NUMBER PLATE; EXPIRED MONTH/YEAR/REGISTRATION TAB IMPROPERLY DISPLAYED",TRUE,"citation",NA,NA,"RED","TOYOTA",NA,"White"
"1104819|1104938",2016-05-02,NA,"3800 FONDREN RD",29.7243232,-95.5205976,"GM","18F50",18,"black","male","vehicular","NO VALID DRIVER'S LICENSE - SINGLE BLOCK|FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY",TRUE,"citation",NA,NA,"GRAY","DODGE","SUV","Black"
"1630192",2017-08-14,NA,"SEALINER (SB) AND SILVERPINES",29.565331,-95.1153893,"GM","12D60",12,"white","male","vehicular","FAIL TO SIGNAL FOR TURN (INTERSECTION)",TRUE,"citation",NA,NA,"RED","HYUNDAI","GENESIS","White"
"1818922",2018-03-05,16:38:00,"KIRKWOOD ROAD AND MEMORIAL DRIVE",29.7713092,-95.5897676,"GM","20G50",20,"white","female","vehicular","RUNNING A RED LIGHT (INTERSECTION)",TRUE,"citation",NA,NA,"WHI","TOYT","TUND","White"
"1340199",2016-11-18,NA,"6700 LONG POINT RD",29.8028997,-95.4682466,"GM","5F10",5,"white","male","vehicular","DRIVING AT NIGHT WITHOUT HEADLIGHTS (SINGLE BLOCK)",TRUE,"citation",NA,NA,"GRY","HYUNDAI","ELANTRA","White"
"2285747",2019-04-24,16:28:00,"N. SHEPHERD AND W 6TH ST",29.781297,-95.40882,"SU","2A30",2,"white","female","vehicular","SPEEDING/ON STREET OR FREEWAY  DISTANCE BETWEEN STREETS",TRUE,"citation",48,35,"MAR","VOLKSWAGEN","TIGU","White"
"2707001",2020-10-22,11:14:00,"4400 GULF FWY, WEST SERVICE RD",29.7127438,-95.3122993,"GM","13D10",13,"white","male","vehicular","SPEEDING (DISTANCE BETWEEN BLOCKS)",TRUE,"citation",50,40,"BLK","FORD","ESCA","White"
"2392897|2392898",2019-08-07,15:49:00,"3200 E CROSSTIMBERS",29.8291462,-95.3377234,"GM","7C30",7,NA,"male","vehicular","USE OF BUYERS TEMPORARY CARDBOARD DEALERS TAGS FOR MORE THAN SIXTY (60) DAYS",TRUE,"citation",NA,NA,NA,"FRHT","TT/ST",NA
"1054751",2016-03-19,NA,NA,NA,NA,NA,NA,NA,"black","female","vehicular","FAIL TO CONTROL SPEED COLLIDE WITH ANOTHER VEHICLE",TRUE,"citation",NA,NA,"SILVER","TOYOTA","RAV4","Black"
"2013221",2018-08-09,06:57:00,"4000 N SHEPHERD",29.8251171,-95.409968,"GM","3B40",3,"white","male","vehicular","FAILURE TO DISPLAY A VALID TEXAS DRIVERS LICENSE",TRUE,"citation",NA,NA,"GRN","CHEVROLET","C1500","White"
"952576",2015-12-21,NA,"1700 SOUTH LOOP W  S S/R",29.6792101,-95.4036438,"GM","15E40",15,"white","female","vehicular","NO (FRONT) (REAR) LICENSE PLATE",TRUE,"citation",NA,NA,"RED","CHEVY","CORVETTE","White"
"632533",2015-03-30,NA,"WESTPARK AND WILCREST DRIVE",29.7204132,-95.5714377,"GM","20G30",20,"white","female","vehicular","SPEEDING /30 (DISTANCE BETWEEN STREETS) (URBAN DISTRICT)",TRUE,"citation",39,30,"BLK","CADI","CTS","White"
"467461",2014-11-17,NA,"8000 US 59",29.7524064,-95.3563521,"GM","1A10",1,"white","male","vehicular","NO (TRUCK/TRUCK-TRACTOR) EQUIPPED WITH TWO MEANS OF ACTIVATING EMER. FEATURES OF THE TRAILER BRAKES",TRUE,"citation",NA,NA,"BLACK","GMC","DUAL","White"
"367297",2014-09-03,NA,"BRAE ACRES AND CAREW",29.6889915,-95.5218875,"GM","17E20",17,NA,"male","vehicular","RUNNING A STOP SIGN - INTERSECTION",TRUE,"citation",NA,NA,"GRAY","TOYOTA","4RUNNER",NA
"2519630",2019-12-22,15:00:00,"18800 GULF FWY",29.5471536,-95.1495489,"GM","12D70",12,"white","male","vehicular","FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY",TRUE,"citation",NA,NA,"BLACK","FORD","EXPLORER","White"
"717942",2015-05-27,NA,"6900 GULF FWY WEST SERVICE RD",29.7047677,-95.3003357,"GM","13D10",13,"white","male","vehicular","FAILURE TO WEAR A SEAT BELT RIDING IN A MOTOR VEHICLE - FIFTEEN (15) YEARS OR OLDER",TRUE,"citation",NA,NA,"WHI","FORD","TRUC","White"
"2265479|2265481",2019-04-05,23:20:00,"ELGIN STREET AND EMANCIPATION AVE",29.7344160000001,-95.365062,"SU","10H50",10,"black","male","vehicular","RAN RED LIGHT/INTERSECTION - ACCIDENT|NO MOTOR VEHICLE REGISTRATION TAGS TRAILER, OR SEMITRAILER, EXPIRED/MISSING/IMPROPERLY DISPLAYED    (INTERSECTION)",TRUE,"citation",NA,NA,"BLUE","OLDSMOBILE","FRB","Black"
"2307569",2019-05-16,08:38:00,"6900 WILCREST",29.7030347,-95.5715153,"GM","19G20",19,NA,"male","vehicular","SPEEDING IN SCHOOL ZONE WHILE BEACONS FLASHING.../20 DIST BETWEEN BLOCKS",TRUE,"citation",33,20,"SILVER","HONDA","CIVIC",NA
"1351351",2016-11-30,NA,"8600 BISSONNET STREET",29.6777919,-95.5274133,"GM","17E20",17,"white","female","vehicular","FAIL TO OBEY TRAFFIC CONTROL DEVICE, TO-WIT: A SIGN BEARING THE LEGEND.",TRUE,"citation",NA,NA,"BRO","NISSAN","ALTIMA","White"
"1601230",2017-07-15,NA,"IH 10 AND NORMANDY",29.7681718,-95.2125336,"GM","9C40",9,"white","male","vehicular","DEFECTIVE EQUIPMENT - STOP LIGHTS - DISTANCE BETWEEN STREETS",TRUE,"citation",NA,NA,"GRN","CHEVROLET","3500","White"
"2229383",2019-03-04,21:58:00,"11600 GULF FREEWAY",29.6286753,-95.2304,"GM","12D10",12,"white","male","vehicular","EXPIRED LICENSE NUMBER PLATE; EXPIRED MONTH/YEAR/REGISTRATION TAB IMPROPERLY DISPLAYED",TRUE,"citation",NA,NA,"WHI","FORD","F250","White"
"447769",2014-11-03,NA,"IH 10",29.768391,-95.363898,"GM","2A10",2,"white","male","vehicular","SPEEDING (DISTANCE BETWEEN MILE POST# & MILE POST# )",TRUE,"citation",69,60,"BURGUNDY","FREI","XOOO","White"
